year,type,title,note,journal,doi,author,ENTRYTYPE,ID
2020,InProceedings,System-Level Analysis of Closed-Loop Anesthesia Control Under Temporal Sensor Faults via UPPAAL-SMC.,0,EMBC,10.1109/EMBC44109.2020.9176568,Alshalalfah A.L.,article,DBLP_conf/embc/AlshalalfahHM20
2008,InProceedings,Automatically transforming and relating Uppaal models of embedded systems.,0,EMSOFT,10.1145/1450058.1450068,Bourke T.,article,DBLP_conf/emsoft/BourkeS08
2006,InProceedings,Analysis of the zeroconf protocol using UPPAAL.,0,EMSOFT,10.1145/1176887.1176923,Gebremichael B.,article,DBLP_conf/emsoft/GebremichaelVZ06
2021,InProceedings,Using UPPAAL to Verify Recovery in a Fault-tolerant Mechanism Providing Persistent State at the Edge.,0,ETFA,10.1109/ETFA45728.2021.9613178,Bakhshi Z.,article,DBLP_conf/etfa/BakhshiRH21
2007,InProceedings,Modelling MajorCAN with UPPAAL.,0,ETFA,10.1109/EFTA.2007.4416948,Bonet M.,article,DBLP_conf/etfa/BonetDP07
2020,InProceedings,Towards Model Checking of Voting Protocols in Uppaal.,0,E-VOTE-ID,10.1007/978-3-030-60347-2_9,Jamroga W.,article,DBLP_conf/evoteid/JamrogaKKR20
2013,InProceedings,Hierarchical Scheduling Framework Based on Compositional Analysis Using Uppaal.,0,FACS,10.1007/978-3-319-07602-7_6,Boudjadar A.,article,DBLP_conf/facs2/BoudjadarDKLMNS13
2003,InProceedings,Time-Optimal Real-Time Test Case Generation Using Uppaal.,0,FATES,10.1007/978-3-540-24617-6_9,Hessel A.,article,DBLP_conf/fates/HesselLNPS03
2004,InProceedings,SDL and Timed Petri Nets versus UPPAAL for the validation of embedded architecture in automotive.,0,FDL,,Dejean K.G.,article,DBLP_conf/fdl/GodaryAM04
2014,InProceedings,Towards satisfaction checking of power contracts in Uppaal.,0,FDL,10.1109/FDL.2014.7119364,Nitsche G.,article,DBLP_conf/fdl/NitscheGN14
2013,InProceedings,Modelling Java Concurrency: An Approach and a Uppaal Library.,0,FedCSIS,,Cicirelli F.,article,DBLP_conf/fedcsis/CicirelliFNP13
2016,InProceedings,Simulink to UPPAAL Statistical Model Checker: Analyzing Automotive Industrial Systems.,0,FM,10.1007/978-3-319-48989-6_46,Filipovikj P.,article,DBLP_conf/fm/FilipovikjMMSLL16
2009,InProceedings,Model-Based GUI Testing Using Uppaal at Novo Nordisk.,0,FM,10.1007/978-3-642-05089-3_53,Hjort U.H.,article,DBLP_conf/fm/HjortRLPS09
2019,InProceedings,Modelling and Analysing ERTMS L3 Moving Block Railway Signalling with Simulink and Uppaal SMC.,0,FMICS,10.1007/978-3-030-27008-7_1,Basile D.,article,DBLP_conf/fmics/BasileBFL19
2023,InProceedings,Pattern-Based Verification of ROS 2 Nodes Using UPPAAL.,0,FMICS,10.1007/978-3-031-43681-9_4,Dust L.J.,article,DBLP_conf/fmics/DustGSEM23
2024,InProceedings,UPPAAL-Based Modeling and Verification of ROS 2 Multi-threaded Execution and Operating System Reservations.,0,FMICS,10.1007/978-3-031-68150-9_3,Dust L.J.,article,DBLP_conf/fmics/DustGSEM24
2021,InProceedings,Randomized Reachability Analysis in Uppaal: Fast Error Detection in Timed Systems.,0,FMICS,10.1007/978-3-030-85248-1_9,Kiviriga A.,article,DBLP_conf/fmics/KivirigaLN21
2009,InProceedings,A Compositional Translation of Timed Automata with Deadlines to Uppaal Timed Automata.,0,FORMATS,10.1007/978-3-642-04368-0_15,Gómez R.,article,DBLP_conf/formats/Gomez09
2007,InProceedings,Guided Controller Synthesis for Climate Controller Using Uppaal Tiga.,0,FORMATS,10.1007/978-3-540-75454-1_17,Jessen J.J.,article,DBLP_conf/formats/JessenRLD07
2021,InProceedings,An Integer Static Analysis for Better Extrapolation in Uppaal.,0,FORMATS,10.1007/978-3-030-85037-1_6,Lund S.,article,DBLP_conf/formats/LundDLMJA21
2012,InProceedings,Static Detection of Zeno Runs in UPPAAL Networks Based on Synchronization Matrices and Two Data-Variable Heuristics.,0,FORMATS,10.1007/978-3-642-33365-1_16,Rinast J.,article,DBLP_conf/formats/RinastS12
2020,InProceedings,Strategy Synthesis for Autonomous Driving in a Moving Block Railway System with Uppaal Stratego.,0,FORTE,10.1007/978-3-030-50086-3_1,Basile D.,article,DBLP_conf/forte/BasileBL20
2007,InProceedings,Adapting the UPPAAL Model of a Distributed Lift System.,0,FSEN,10.1007/978-3-540-75698-9_6,Fokkink W.J.,article,DBLP_conf/fsen/FokkinkKP07
2023,InProceedings,Formal Verification of a Mechanical Ventilator using UPPAAL.,0,FTSCS,10.1145/3623503.3623536,Cuartas J.,article,DBLP_conf/ftscs/CuartasCBAGVO23
2013,InProceedings,An UPPAAL Framework for Model Checking Automotive Systems with FlexRay Protocol.,0,FTSCS,10.1007/978-3-319-05416-2_4,Guo X.,article,DBLP_conf/ftscs/GuoLYA13
2008,InProceedings,"Designing, Modelling and Verifying a Container Terminal System Using UPPAAL.",0,HASE,10.1109/HASE.2008.35,Zu Q.,article,DBLP_conf/hase/ZuZLD08
2018,InProceedings,Model Checking of TTCAN Protocol Using UPPAAL.,0,ICCSA,10.1007/978-3-319-95171-3_43,Liu S.,article,DBLP_conf/iccsa/LiuY18
2000,InProceedings,Guided Synthesis of Control Programs Using UPPAAL.,0,ICDCS Workshop on Distributed System Validation and Verification,,Hune T.,article,DBLP_conf/icdcsw/HuneLP00
2012,InProceedings,ViTAL: A Verification Tool for EAST-ADL Models Using UPPAAL PORT.,0,ICECCS,10.1109/ICECCS.2012.42,Enoiu E.P.,article,DBLP_conf/iceccs/EnoiuMSP12
2017,InProceedings,Integrating Tools: Co-simulation in UPPAAL Using FMI-FMU.,0,ICECCS,10.1109/ICECCS.2017.33,Jensen P.G.,article,DBLP_conf/iceccs/JensenLLN17
2016,InProceedings,Developing Multi-view Contracts Using Event-B and Uppaal Timed Automata.,0,ICECCS,10.1109/ICECCS.2016.024,Vain J.,article,DBLP_conf/iceccs/VainTG16
2009,InProceedings,On Modeling and Verifying of Application Protocols of TTCAN in Flight-Control System with UPPAAL.,0,ICESS,10.1109/ICESS.2009.27,Wu X.,article,DBLP_conf/icess/WuLD09
2003,InProceedings,Analyzing the Redesign of a Distributed Lift System in UPPAAL.,0,ICFEM,10.1007/978-3-540-39893-6_29,Pang J.,article,DBLP_conf/icfem/PangKF03
2005,InProceedings,Verification of timed chi models using uppaal.,0,ICINCO,,Bortnik E.M.,article,DBLP_conf/icinco/BortnikBMR05
2020,InProceedings,Analysis of Security Attacks in Wireless Sensor Networks: From UPPAAL to Castalia.,0,ICISSP,10.5220/0009380508150824,Bernardeschi C.,article,DBLP_conf/icissp/BernardeschiDPR20
2025,InProceedings,Model Editing as a Robust and Denoised variant of DPO: A Case Study on Toxicity.,0,ICLR,,Uppaal R.,article,DBLP_conf/iclr/UppaalDHZ025
2024,InProceedings,Modeling and Verification of Variable Multi-Lane Intersection Controls for Autonomous Vehicles Using Uppaal SMC.,0,ICMLC,10.1109/ICMLC63072.2024.10935218,Hachiro A.,article,DBLP_conf/icmlc/Hachiro0SMT24
2016,InProceedings,Evaluating Data Integrity in the Cloud using the UPPAAL.,0,ICSOFT-EA,10.5220/0006005103040309,Nishida S.,article,DBLP_conf/icsoft/NishidaS16
2016,InProceedings,On Mutating UPPAAL Timed Automata to Assess Robustness of Web Services.,0,ICSOFT-EA,10.5220/0005970800150026,Siavashi F.,article,DBLP_conf/icsoft/SiavashiTV16
2014,InProceedings,Combining Aspect-orientation and UPPAAL Timed Automata.,0,ICSOFT PT,10.5220/0005105101590164,Truscan D.,article,DBLP_conf/icsoft/TruscanVK14
2014,InProceedings,A Tool-Supported Approach for Introducing Aspects in UPPAAL Timed Automata.,0,ICSOFT,10.1007/978-3-319-25579-8_20,Truscan D.,article,DBLP_conf/icsoft/TruscanVKI14
2023,InProceedings,MUPPAAL: Reducing and Removing Equivalent and Duplicate Mutants in UPPAAL.,0,ICSTW,10.1109/ICSTW58534.2023.00021,Cuartas J.,article,DBLP_conf/icst/CuartasACOPS23
2013,InProceedings,Model-Based Test Suite Generation for Function Block Diagrams Using the UPPAAL Model Checker.,0,ICST Workshops,10.1109/ICSTW.2013.27,Enoiu E.P.,article,DBLP_conf/icst/EnoiuSP13
2023,InProceedings,Test Generation and Mutation Analysis of Energy Consumption using UPPAAL SMC and MATS.,0,ICSTW,10.1109/ICSTW58534.2023.00042,Larsson J.,article,DBLP_conf/icst/LarssonE23
2020,InProceedings,Conformance Testing in UPPAAL: A diabolic approach.,0,ICST Workshops,10.1109/ICSTW50294.2020.00023,Njor E.J.,article,DBLP_conf/icst/NjorLSP20
2011,InProceedings,An Experience Report on an Industrial Case-Study about Timed Model-Based Testing with UPPAAL-TRON.,0,ICST Workshops,10.1109/ICSTW.2011.92,Rütz C.,article,DBLP_conf/icst/RutzS11
2012,InProceedings,Verifying Liveness in Supervised Systems Using UPPAAL and mCRL2.,0,ICT Innovations,10.1007/978-3-642-37169-1_29,Markovski J.,article,DBLP_conf/ictinnovations/MarkovskiR12
2023,InProceedings,Dual Balancing of SoC/SoT in Smart Batteries Using Reinforcement Learning in Uppaal Stratego.,0,IECON,10.1109/IECON51785.2023.10311828,Kristjansen M.,article,DBLP_conf/iecon/KristjansenKJTL23
2000,InProceedings,Timing Constraints Validation using UPPAAL: Schedulability Analysis.,0,DIPES,,Sun H.,article,DBLP_conf/ifip10-3/Sun00
2011,InProceedings,Modeling Interoperability Channel using UPPAAL.,0,IICS,,Ayaida M.,article,DBLP_conf/iics/AyaidaMAF11
2016,InProceedings,Simultaneous TCP and NCS flows in a UPPAAL framework with a new AQM technique.,0,INDIN,10.1109/INDIN.2016.7819138,Sup L.M.A.,article,DBLP_conf/indin/SupMB16
2019,InProceedings,Towards System Level Security Analysis of Artificial Pancreas Via UPPAAL-SMC.,0,ISCAS,10.1109/ISCAS.2019.8702440,Alshalalfah A.L.,article,DBLP_conf/iscas/AlshalalfahHM19
2018,InProceedings,Modelling and Verification of the FlexRay Startup Mechanism using UPPAAL Model Checker.,0,ISED,10.1109/ISED.2018.8704029,Asokan S.,article,DBLP_conf/ised/AsokanS18
2016,InProceedings,Synthesizing Energy-Optimal Controllers for Multiprocessor Dataflow Applications with Uppaal Stratego.,0,ISoLA,10.1007/978-3-319-47166-2_7,Ahmad W.,article,DBLP_conf/isola/AhmadP16
2018,InProceedings,Statistical Model Checking of a Moving Block Railway Signalling Scenario with Uppaal SMC - Experience and Outlook.,0,ISoLA,10.1007/978-3-030-03421-4_24,Basile D.,article,DBLP_conf/isola/BasileBC18
2020,InProceedings,30 Years of Simulation-Based Quantitative Analysis Tools: A Comparison Experiment Between Möbius and Uppaal SMC.,0,ISoLA,10.1007/978-3-030-61362-4_21,Basile D.,article,DBLP_conf/isola/BasileBGFGS20
2020,InProceedings,Fluid Model-Checking in UPPAAL for Covid-19.,0,ISoLA,10.1007/978-3-030-61362-4_22,Jensen P.G.,article,DBLP_conf/isola/JensenJLMMP20
2022,InProceedings,Importance Splitting in Uppaal.,0,ISoLA,10.1007/978-3-031-19759-8_26,Larsen K.G.,article,DBLP_conf/isola/LarsenLMP22
2018,InProceedings,20 Years of UPPAAL Enabled Industrial Model-Based Validation and Beyond.,0,ISoLA,10.1007/978-3-030-03427-6_18,Larsen K.G.,article,DBLP_conf/isola/LarsenLN18
2020,InProceedings,Formal Modelling and Verification of a Distributed Railway Interlocking System Using UPPAAL.,0,ISoLA,10.1007/978-3-030-61467-6_27,Laursen P.L.,article,DBLP_conf/isola/LaursenTH20
2010,InProceedings,A Formal Analysis of the Web Services Atomic Transaction Protocol with UPPAAL.,0,ISoLA,10.1007/978-3-642-16558-0_47,Ravn A.P.,article,DBLP_conf/isola/RavnSV10
2010,InProceedings,UPPAAL in Practice: Quantitative Verification of a RapidIO Network.,0,ISoLA,10.1007/978-3-642-16561-0_20,Xing J.,article,DBLP_conf/isola/XingTLPTV10
2019,InProceedings,Online Conformance Testing of CBTC On-board ATO Functions Based on UPPAAL-TRON Framework.,0,ITSC,10.1109/ITSC.2019.8917035,Chen K.,article,DBLP_conf/itsc/ChenLHGST19
2016,InProceedings,Hierarchical modeling and analysis of TCC subsystem in CTCS level 3 using UPPAAL.,0,ITSC,10.1109/ITSC.2016.7795632,Liu Y.,article,DBLP_conf/itsc/LiuJDL16
2021,InProceedings,Generation of FAO System Test Sequence Based on UPPAAL and Improved Backtracking Algorithm.,0,ITSC,10.1109/ITSC48978.2021.9565121,Wang R.,article,DBLP_conf/itsc/WangW21
2004,InProceedings,T-UPPAAL: Online Model-based Testing of Real-Time Systems.,0,ASE,10.1109/ASE.2004.10059,Mikucionis M.,article,DBLP_conf/kbse/MikucionisLN04
2021,InProceedings,Battery Aware Analysis of Sensor Networks in Uppaal SMC.,0,MECO,10.1109/MECO52532.2021.9460152,Naeem M.,article,DBLP_conf/meco/NaeemALNHL21
2021,InProceedings,Aspect-Oriented Model-Based Testing with UPPAAL Timed Automata.,0,MEDI,10.1007/978-3-030-78428-7_10,Vain J.,article,DBLP_conf/medi/VainTK21
2011,InProceedings,Transforming SystemC Transaction Level Models into UPPAAL timed automata.,0,MEMOCODE,10.1109/MEMCOD.2011.5970523,Herber P.,article,DBLP_conf/memocode/HerberPG11
2006,InProceedings,Using Predicate Abstraction to Generate Heuristic Functions in UPPAAL.,0,MoChArt,10.1007/978-3-540-74128-2_4,Hoffmann J.,article,DBLP_conf/mochart/HoffmannSRKP06
2014,InProceedings,Verification and Performance Analysis of Embedded and Cyber-Physical Systems using UPPAAL.,0,MODELSWARD,,Larsen K.G.,article,DBLP_conf/modelsward/Larsen14
2000,InProceedings,"UPPAAL - Now, Next, and Future.",0,MOVEP,10.1007/3-540-45510-8_4,Amnell T.,article,DBLP_conf/movep/AmnellBBDDFHJLMPWY00
2015,InProceedings,UFIT: A Tool for Modeling Faults in UPPAAL Timed Automata.,0,NFM,10.1007/978-3-319-17524-9_32,Hajisheykhi R.,article,DBLP_conf/nfm/HajisheykhiEK15
2006,InProceedings,UPPAAL 4.0.,0,QEST,10.1109/QEST.2006.59,Behrmann G.,article,DBLP_conf/qest/BehrmannDLHPYH06
1997,InProceedings,Formal modeling and analysis of an audio/video protocol: an industrial case study using UPPAAL.,0,RTSS,10.1109/REAL.1997.641264,Havelund K.,article,DBLP_conf/rtss/HavelundSLL97
2020,InProceedings,TAMAA: UPPAAL-based mission planning for autonomous agents.,0,SAC,10.1145/3341105.3374001,Gu R.,article,DBLP_conf/sac/GuES20
2011,InProceedings,Verifying Functional Behaviors of Automotive Products in EAST-ADL2 Using UPPAAL-PORT.,0,SAFECOMP,10.1007/978-3-642-24270-0_18,Kang E.Y.,article,DBLP_conf/safecomp/KangSP11
2008,InProceedings,UPPAAL-Modelle als ausführbare Spezifikation in Java.,0,Software Engineering,,Goedicke M.,article,DBLP_conf/se/GoedickeBS08
2014,InProceedings,Evaluating the Effect of Faults in SystemC TLM Models Using UPPAAL.,0,SEFM,10.1007/978-3-319-10431-7_13,Hajisheykhi R.,article,DBLP_conf/sefm/HajisheykhiEK14
2021,InProceedings,Modeling and Verification of CKB Consensus Protocol in UPPAAL (S).,0,SEKE,10.18293/SEKE2021-072,Feng Y.C.,article,DBLP_conf/seke/FengLS21
2017,InProceedings,How to Efficiently Build a Front-End Tool for UPPAAL: A Model-Driven Approach.,0,SETTA,10.1007/978-3-319-69483-2_19,Schivo S.,article,DBLP_conf/setta/SchivoYRGKDRS17
2004,InProceedings,A Tutorial on Uppaal.,0,SFM,10.1007/978-3-540-30080-9_7,Behrmann G.,article,DBLP_conf/sfm/BehrmannDL04
2013,InProceedings,Formal design of communication checkers for ICCP using UPPAAL.,0,SmartGridComm,10.1109/SMARTGRIDCOMM.2013.6688005,Malik M.S.,article,DBLP_conf/smartgridcomm/MalikBBCS13
2023,InProceedings,A Tool for Transforming SysML State Machine into Uppaal Automatically.,0,SMC,10.1109/SMC53992.2023.10394302,Wang S.,article,DBLP_conf/smc/WangSHY23
2017,InProceedings,Boosting Uppaal for OSEK/VDX Applications with a Sequentialization Approach.,0,SOFL+MSVL,10.1007/978-3-319-90104-6_4,Zhang H.,article,DBLP_conf/sofl/ZhangCXL17
2012,InProceedings,mctau: Bridging the Gap between Modest and UPPAAL.,0,SPIN,10.1007/978-3-642-31759-0_16,Bogdoll J.,article,DBLP_conf/spin/BogdollDHH12
2001,InProceedings,Efficient Guiding Towards Cost-Optimality in UPPAAL.,0,TACAS,10.1007/3-540-45319-9_13,Behrmann G.,article,DBLP_conf/tacas/BehrmannF01
2015,InProceedings,Uppaal Stratego.,0,TACAS,10.1007/978-3-662-46681-0_16,David A.,article,DBLP_conf/tacas/DavidJLMT15
2004,InProceedings,Vooduu: Verification of Object-Oriented Designs Using UPPAAL.,0,TACAS,10.1007/978-3-540-24730-2_10,Diethers K.,article,DBLP_conf/tacas/DiethersH04
2012,InProceedings,Automated Analysis of AODV Using UPPAAL.,0,TACAS,10.1007/978-3-642-28756-5_13,Fehnker A.,article,DBLP_conf/tacas/FehnkerGHMPT12
2007,InProceedings,Uppaal/DMC- Abstraction-Based Heuristics for Directed Model Checking.,0,TACAS,10.1007/978-3-540-71209-1_52,Kupferschmid S.,article,DBLP_conf/tacas/KupferschmidDHFDPB07
2022,InProceedings,End-to-End Heat-Pump Control Using Continuous Time Stochastic Modelling and Uppaal Stratego.,0,TASE,10.1007/978-3-031-10363-6_24,Hasrat I.R.,article,DBLP_conf/tase/HasratJLS22
2024,InProceedings,Energy-Efficient Motion Planning for Autonomous Vehicles Using Uppaal Stratego.,0,TASE,10.1007/978-3-031-64626-3_21,Naeem M.,article,DBLP_conf/tase/NaeemGSLNA24
2021,InProceedings,Transforming RoboSim Models into UPPAAL.,0,TASE,10.1109/TASE52547.2021.00037,Zhang M.,article,DBLP_conf/tase/ZhangDSCFZ21
2012,InProceedings,Formal Modeling and Analysis of a Distributed Transaction Protocol in UPPAAL.,0,TIME,10.1109/TIME.2012.12,Bataineh O.I.A.,article,DBLP_conf/time/Al-BatainehFW12
2011,InProceedings,Automatic Model Building and Verification of Embedded Software with UPPAAL.,0,TrustCom,10.1109/TRUSTCOM.2011.152,Gong X.,article,DBLP_conf/trustcom/GongMLZ11
2020,InProceedings,Modeling and Analysis of RabbitMQ Using UPPAAL.,0,TrustCom,10.1109/TRUSTCOM50675.2020.00024,Li R.,article,DBLP_conf/trustcom/LiYZ20
2002,InProceedings,A Tool Architecture for the Next Generation of Uppaal.,0,10th Anniversary Colloquium of UNU/IIST,10.1007/978-3-540-40007-3_22,David A.,article,DBLP_conf/unu/DavidBLY02
2014,InProceedings,CAN/TTCAN Sistemlerin UPPAAL Aracı ile Modellenmesi ve Zamanlama Doğrulaması.,0,UYMS,,Özdemir Ç.,article,DBLP_conf/uyms/Ozdemir14
2023,Journal,Model verification of fallback control system under cyberattacks via UPPAAL.,0,Adv. Robotics,10.1080/01691864.2022.2134737,Sakata K.,article,DBLP_journals/ar/SakataFSIEM23
2012,Journal,Transformation of Function Block Diagrams to UPPAAL timed automata for the verification of safety applications.,0,Annu. Rev. Control.,10.1016/J.ARCONTROL.2012.09.015,Soliman D.,article,DBLP_journals/arc/SolimanTF12
2008,Journal,Model-based system analysis using Chi and Uppaal: An industrial case study.,0,Comput. Ind.,10.1016/J.COMPIND.2007.06.002,Braspenning N.C.W.M.,article,DBLP_journals/cii/BraspenningBMR08
2009,InProceedings,Adaptive Scheduling of Data Paths using Uppaal Tiga,0,QFM,10.4204/EPTCS.13.1,AlAttili I.,article,DBLP_journals/corr/abs-0912-1897
2018,InProceedings,Introducing Liveness into Multi-lane Spatial Logic lane change controllers using UPPAAL.,0,SCAV@CPSWeek,10.4204/EPTCS.269.3,Schwammberger M.,article,DBLP_journals/corr/abs-1804-04346
2021,InProceedings,Analysis of Source Code Using UPPAAL.,0,F-IDE@NFM,10.4204/EPTCS.338.5,Kulczynski M.,article,DBLP_journals/corr/abs-2108-02963
2022,InProceedings,Modeling R3 Needle Steering in Uppaal.,0,MARS@ETAPS,10.4204/EPTCS.355.4,Lehmann S.,article,DBLP_journals/corr/abs-2203-09884
2017,InProceedings,Evaluating the Stream Control Transmission Protocol Using Uppaal.,0,MARS@ETAPS,10.4204/EPTCS.244.1,Saini S.,article,DBLP_journals/corr/SainiF17
2000,InProceedings,Verification of the legOS Scheduler using Uppaal.,0,MTCS,10.1016/S1571-0661(05)80752-2,Halkjaer L.,article,DBLP_journals/entcs/HalkjaerHI02
2021,Journal,Analysing an autonomous tramway positioning system with the Uppaal Statistical Model Checker.,0,Formal Aspects Comput.,10.1007/S00165-021-00556-1,Basile D.,article,DBLP_journals/fac/BasileFRM21
2006,Journal,Analysis of a biphase mark protocol with Uppaaland PVS.,0,Formal Aspects Comput.,10.1007/S00165-006-0008-1,Vaandrager F.W.,article,DBLP_journals/fac/VaandragerG06
2023,Journal,IoT Modeling and Verification: From the CaIT Calculus to UPPAAL.,0,IEICE Trans. Inf. Syst.,10.1587/TRANSINF.2022EDP7223,Chen N.,article,DBLP_journals/ieicetd/ChenZ23
2023,Journal,Formal verification of a telerehabilitation system through an abstraction and refinement approach using Uppaal.,0,IET Softw.,10.1049/SFW2.12128,Arfi F.,article,DBLP_journals/iet-sen/ArfiCLBH23
2017,Journal,Synthesizing power management strategies for wireless sensor networks with UPPAAL-STRATEGO.,0,Int. J. Distributed Sens. Networks,10.1177/1550147717700900,Dai S.,article,DBLP_journals/ijdsn/DaiHG17
2018,Journal,Modeling and Verification of IEEE 802.11i Security Protocol in UPPAAL for Internet of Things.,0,Int. J. Softw. Eng. Knowl. Eng.,10.1142/S021819401840020X,Lu Y.,article,DBLP_journals/ijseke/LuS18
2018,Journal,Modelling and analysis of multi-agent systems using UPPAAL SMC.,0,Int. J. Simul. Process. Model.,10.1504/IJSPM.2018.10011361,Nigro C.,article,DBLP_journals/ijspm/NigroNS18
